"","X","Date","AveragePrice","Total.Volume","X4046","X4225","X4770","Total.Bags","Small.Bags","Large.Bags","XLarge.Bags","type","year","region"
"10318",47,"2015-02-01",1.12,50107.32,39628.65,1721.95,0,8756.72,8756.72,0,0,"organic",2015,"LosAngeles"
"4906",17,"2016-08-28",1.33,421583.74,150624.23,225695.86,5537.68,39725.97,39589.51,5.9,130.56,"conventional",2016,"Sacramento"
"4690",9,"2016-10-23",1.12,568596.03,77057.58,127808.18,12872.16,350858.11,349205.42,1375.66,277.03,"conventional",2016,"Portland"
"17613",11,"2018-01-07",1.54,4816.9,43.51,412.17,0,4361.22,4357.89,3.33,0,"organic",2018,"Albany"
"11554",35,"2015-04-26",1.7,33155.61,18578.82,7341.19,710.75,6524.85,6214.8,310.05,0,"organic",2015,"Southeast"
"5736",13,"2017-10-01",1.59,705451.5,57840.63,461605.2,4777.48,181228.19,167895.87,13332.32,0,"conventional",2017,"BaltimoreWashington"
"353",40,"2015-03-22",1.06,5571812.77,2348618.25,2314393.94,195791.46,713009.12,681403.86,30058.97,1546.29,"conventional",2015,"California"
"1143",50,"2015-01-11",0.93,274481.48,126092.05,101653.19,9591.88,37144.36,36874.44,269.92,0,"conventional",2015,"LasVegas"
"3685",44,"2016-02-21",1.15,235440.15,33667.84,136616.59,158.14,64997.58,62779.7,2217.88,0,"conventional",2016,"HarrisburgScranton"
"3210",37,"2016-04-10",1.1,210587.77,39141.6,93571.42,16896.71,60978.04,48991.14,11986.9,0,"conventional",2016,"Charlotte"
"8881",6,"2018-02-11",0.64,1490711.97,793896.21,256987.03,12607.4,427221.33,241681.63,179607.48,5932.22,"conventional",2018,"PhoenixTucson"
"9091",0,"2018-03-25",1.03,43409835.75,14130799.1,12125711.42,758801.12,16394524.11,12540327.19,3544729.39,309467.53,"conventional",2018,"TotalUS"
"10959",12,"2015-10-04",1.76,30507.45,2938.43,14625.55,12.12,12931.35,8437.2,4494.15,0,"organic",2015,"Plains"
"6612",41,"2017-03-19",0.85,1016536.61,653306.71,183349.68,21365.41,158514.81,157513.45,998.03,3.33,"conventional",2017,"Houston"
"8088",33,"2017-05-14",1.36,3560841.76,1996527.25,387915.89,8542.18,1167856.44,781111.52,343498.72,43246.2,"conventional",2017,"Southeast"
"16469",31,"2017-05-28",2.22,15955.26,2251.74,6632.02,7.74,7063.76,7043.24,20.52,0,"organic",2017,"Philadelphia"
"15884",29,"2017-06-11",1.74,11473.1,2058.67,2749.59,0,6664.84,2823.89,3840.95,0,"organic",2017,"LasVegas"
"16417",32,"2017-05-21",1.8,8800.59,1981.17,258.64,0,6560.78,5043.23,1517.55,0,"organic",2017,"Orlando"
"17542",44,"2017-02-26",1.14,308828.87,43171.62,63444.18,108.13,202104.94,99636.02,102468.92,0,"organic",2017,"West"
"730",1,"2015-12-20",1.13,126262.26,2630.11,85259.91,3211.51,35160.73,30547.62,2288.36,2324.75,"conventional",2015,"GrandRapids"
"13004",30,"2016-05-29",1.63,4110.96,2183.27,164.4,9.96,1753.33,1753.33,0,0,"organic",2016,"Jacksonville"
"13573",27,"2016-06-19",1.51,6725.85,2669.06,340.13,0,3716.66,3703.33,13.33,0,"organic",2016,"Orlando"
"7371",5,"2017-11-26",0.77,929825,529091,181823,10223,208688,133534,72473,2681,"conventional",2017,"PhoenixTucson"
"2576",27,"2015-06-21",1.4,60370.27,624.44,32511.25,3173.19,24061.39,24061.39,0,0,"conventional",2015,"Syracuse"
"7554",29,"2017-06-11",1,718937.65,128990.56,168571.5,18215.43,403160.16,401672.14,1316.91,171.11,"conventional",2017,"Portland"
"12483",29,"2016-06-05",1.43,9417.49,527.69,4916.99,50.28,3922.53,698.77,3223.76,0,"organic",2016,"Columbus"
"17910",8,"2018-01-28",1.62,162896.45,3033.33,48878.5,911.57,110073.05,101010.31,9062.74,0,"organic",2018,"Midsouth"
"16116",49,"2017-01-22",1.49,96918.39,2981.29,38351.15,1985.43,53600.52,39758.09,13842.43,0,"organic",2017,"Midsouth"
"2322",33,"2015-05-10",1.13,329845.26,199489.94,44017.79,16482.29,69855.24,64229.19,5626.05,0,"conventional",2015,"SouthCarolina"
"7663",32,"2017-05-21",1.17,271051.35,85990.47,95579.62,2457.75,87023.51,82632.8,4363.23,27.48,"conventional",2017,"RichmondNorfolk"
"2666",13,"2015-09-27",1.03,27753508.14,8454208.8,13819912.63,1061979.37,4417407.34,3476492.68,886423.93,54490.73,"conventional",2015,"TotalUS"
"14743",1,"2017-12-24",1.58,3694.13,31.68,327.39,0,3335.06,3335.06,0,0,"organic",2017,"Albany"
"355",42,"2015-03-08",0.96,5990243.89,3484274.6,1649936.05,184720.58,671312.66,642307,27241.05,1764.61,"conventional",2015,"California"
"4804",19,"2016-08-14",1.12,247600.94,89131.88,80717.4,8138.85,69612.81,69444.71,108.1,60,"conventional",2016,"RichmondNorfolk"
"2391",50,"2015-01-11",0.8,5409726.02,2973367.52,1717171.24,88373.78,630813.48,533599.2,97164.07,50.21,"conventional",2015,"SouthCentral"
"16111",44,"2017-02-26",1.12,139908.49,3921.76,41022.31,1849.73,93114.69,33735.94,59378.75,0,"organic",2017,"Midsouth"
"17398",6,"2017-11-19",1.74,6739.72,101.99,789.78,0,5847.95,5031.44,816.51,0,"organic",2017,"Tampa"
"7287",27,"2017-06-25",1.35,376407.55,230886.33,38375.37,94.56,107051.29,60122.45,40833.84,6095,"conventional",2017,"Orlando"
"8654",7,"2018-02-04",0.88,408921.57,4371.02,193222.08,143538.35,67790.12,22315.79,1765.51,43708.82,"conventional",2018,"GrandRapids"
"16388",3,"2017-12-10",1.6,5703.21,93.53,721.9,0,4887.78,4884.45,3.33,0,"organic",2017,"Orlando"
"6875",39,"2017-04-02",1.15,96962.69,2228.91,43114.54,225.38,51393.86,18336.09,33057.77,0,"conventional",2017,"Louisville"
"3291",14,"2016-09-18",0.96,288857.14,6195.29,112907.19,1335.29,168419.37,30495.85,137923.52,0,"conventional",2016,"CincinnatiDayton"
"4106",49,"2016-01-17",1.2,430079.07,276253.48,62106.53,292.47,91426.59,61025.39,30401.2,0,"conventional",2016,"MiamiFtLauderdale"
"3763",18,"2016-08-21",0.9,1046506.77,583161,248160.18,5697.25,209488.34,132615.92,76539.09,333.33,"conventional",2016,"Houston"
"13814",8,"2016-10-30",2.55,7136.88,1910.88,4597.68,0.83,627.49,172.25,455.24,0,"organic",2016,"Portland"
"17161",34,"2017-05-07",1.34,138588.03,30711.6,11489.92,0,96386.51,87975.05,8411.46,0,"organic",2017,"SouthCentral"
"12154",12,"2016-10-02",1.63,11208.26,11.32,771.37,0,10425.57,10425.57,0,0,"organic",2016,"Boston"
"10296",25,"2015-07-05",1.46,56929.52,17846.84,30121.84,4.75,8956.09,8956.09,0,0,"organic",2015,"LosAngeles"
"9548",5,"2015-11-22",1.57,24095.66,716.68,23255.65,0,123.33,120,3.33,0,"organic",2015,"Chicago"
"13568",22,"2016-07-24",1.81,8411.92,3787.14,211.45,0,4413.33,4380,33.33,0,"organic",2016,"Orlando"
"5522",9,"2016-10-23",1.17,4760018.22,1301893.54,1138468.74,116102.67,2203553.27,1441557.14,758232.29,3763.84,"conventional",2016,"West"
"13805",51,"2016-01-03",1.5,38955.86,3092.05,15012.16,2689.51,18162.14,7903.68,10258.46,0,"organic",2016,"Plains"
"16944",29,"2017-06-11",2.06,12549.97,1163.03,8506.74,1.59,2878.61,2849.42,29.19,0,"organic",2017,"SanDiego"
"11692",17,"2015-08-30",1.68,940.43,1,56.36,0,883.07,883.07,0,0,"organic",2015,"Syracuse"
"7035",40,"2017-03-26",0.91,276732.88,135016.05,10773,92.56,130851.27,122643.74,6937.53,1270,"conventional",2017,"Nashville"
"11719",44,"2015-02-22",1.57,1926.71,3.71,50.55,0,1872.45,1872.45,0,0,"organic",2015,"Syracuse"
"12066",28,"2016-06-12",1.73,18801.3,719.94,10078.62,381.05,7621.69,6648.57,973.12,0,"organic",2016,"BaltimoreWashington"
"9738",39,"2015-03-29",1.36,9162.06,6160.98,467.75,0,2533.33,2533.33,0,0,"organic",2015,"DallasFtWorth"
"140",35,"2015-04-26",1.29,747841.09,58013.85,431532.87,39942.57,218351.8,212064.73,6184.29,102.78,"conventional",2015,"BaltimoreWashington"
"11275",16,"2015-09-06",1.85,9341.22,2333.68,6614.63,0,392.91,392.91,0,0,"organic",2015,"SanDiego"
"4717",36,"2016-04-17",0.69,917689.13,80084.69,285327.86,20489.31,531787.27,518252.26,12155.5,1379.51,"conventional",2016,"Portland"
"5103",6,"2016-11-13",1.41,255288.43,127839.06,40770.91,8259.59,78418.87,42376.82,35957.05,85,"conventional",2016,"SouthCarolina"
"1602",41,"2015-03-15",1.15,301852.8,6236.37,247092.81,90.6,48433.02,48390.8,42.22,0,"conventional",2015,"NorthernNewEngland"
"1527",18,"2015-08-23",1.13,4146220.81,107907.11,3291930.64,7167.44,739215.62,682203.72,55968.11,1043.79,"conventional",2015,"Northeast"
"2183",50,"2015-01-11",0.82,544667.18,303369.02,192913.11,12900.65,35484.4,31807.96,3271.85,404.59,"conventional",2015,"SanDiego"
"24",23,"2015-07-19",1.26,96617,1042.1,82049.4,2238.02,11287.48,11103.49,183.99,0,"conventional",2015,"Albany"
"1291",42,"2015-03-08",1.3,356311.66,253963.7,32888.65,62.9,69396.41,47346.87,22049.54,0,"conventional",2015,"MiamiFtLauderdale"
"14497",15,"2016-09-11",1.54,1614.87,6.1,95.22,0,1513.55,1513.55,0,0,"organic",2016,"Syracuse"
"12315",17,"2016-08-28",1.78,8617.46,338.94,3830.43,738.3,3709.79,3656.46,53.33,0,"organic",2016,"Charlotte"
"11607",36,"2015-04-19",1.69,4029.03,1570.21,2153.19,0,305.63,0,305.63,0,"organic",2015,"Spokane"
"11861",30,"2015-05-31",1.53,251074.96,84137.69,124169.28,115.97,42652.02,8789.9,33862.12,0,"organic",2015,"West"
"4606",29,"2016-06-05",1.38,111137.97,2020.28,61595.07,1293.72,46228.9,30730.27,15178.63,320,"conventional",2016,"Pittsburgh"
"6867",31,"2017-05-28",1.08,111487.07,2098.77,48808.39,305.78,60274.13,16202.19,44055.13,16.81,"conventional",2017,"Louisville"
"17656",6,"2018-02-11",1.85,24728.12,3.67,1795.79,3.67,22924.99,19367.62,3557.37,0,"organic",2018,"Boston"
"12457",3,"2016-12-04",1.36,5338.71,485.75,1639.28,0,3213.68,3074.56,139.12,0,"organic",2016,"Columbus"
"13628",30,"2016-05-29",2.07,10738.68,622.97,3962.86,5.06,6147.79,5229.58,918.21,0,"organic",2016,"Philadelphia"
"12192",50,"2016-01-10",1.32,7751.94,65.96,766.46,1.2,6918.32,6918.32,0,0,"organic",2016,"Boston"
"2537",40,"2015-03-22",1.34,163325.4,77997.93,37696.27,39.92,47591.28,47513.51,77.77,0,"conventional",2015,"StLouis"
"17947",9,"2018-01-21",1.91,71760.69,5732.09,13124.59,157.72,52746.29,52130.98,615.31,0,"organic",2018,"NewYork"
"16898",36,"2017-04-23",2.29,6764.99,1967.94,3979.11,0,817.94,817.94,0,0,"organic",2017,"Sacramento"
"14014",0,"2016-12-25",2.41,4567.83,1449.65,2867.8,2.68,247.7,247.7,0,0,"organic",2016,"Sacramento"
"6421",9,"2017-10-29",1.52,2739607.48,570308.79,901889.6,159959.25,1107449.84,775312.24,319204.76,12932.84,"conventional",2017,"GreatLakes"
"1877",4,"2015-11-29",1.04,353818.15,78566.84,113850.46,13672.29,147728.56,147268.25,89,371.31,"conventional",2015,"Portland"
"11949",15,"2016-09-11",1.68,3501.41,128.94,227.69,0,3144.78,3144.78,0,0,"organic",2016,"Albany"
"3207",34,"2016-05-01",1.04,249786.11,53589.93,112926.95,18934.08,64335.15,52070.2,12264.95,0,"conventional",2016,"Charlotte"
"13519",25,"2016-07-03",1.33,29132.17,1.3,335.95,0,28794.92,28794.92,0,0,"organic",2016,"NorthernNewEngland"
"16611",14,"2017-09-24",2.13,49093.24,1296.19,15708.29,379.9,31704.85,22812.27,8884.57,8.01,"organic",2017,"Plains"
"5218",17,"2016-08-28",1.11,3580022.43,1919441.39,610781.64,10303.2,1039496.2,738943.52,290855.73,9696.95,"conventional",2016,"Southeast"
"10694",7,"2015-11-08",1.58,8340.73,9.48,261.9,0,8069.35,8069.35,0,0,"organic",2015,"NorthernNewEngland"
"4920",31,"2016-05-22",1.1,488201.43,156352.97,253576.99,20549.75,57721.72,55547.83,0,2173.89,"conventional",2016,"Sacramento"
"2172",39,"2015-03-29",1.08,450370.85,234361.38,155583.39,14998.04,45428.04,25798.74,19629.3,0,"conventional",2015,"SanDiego"
"5200",51,"2016-01-03",0.79,5693942.07,2512692.22,2024262.18,361423.55,795564.12,682311.74,109448.15,3804.23,"conventional",2016,"SouthCentral"
"4383",14,"2016-09-18",1.48,316980.64,24643.99,235008.38,4265.21,53063.06,52433.61,548.89,80.56,"conventional",2016,"NorthernNewEngland"
"15531",47,"2017-02-05",1.7,1112.77,54.67,688.31,0,369.79,369.79,0,0,"organic",2017,"GrandRapids"
"10911",16,"2015-09-06",1.5,2278.16,657.82,162.74,0,1457.6,814.25,643.35,0,"organic",2015,"Pittsburgh"
"7314",1,"2017-12-24",1.34,379421.96,17276.7,226538,472.94,135134.32,116972.59,18161.73,0,"conventional",2017,"Philadelphia"
"3048",31,"2016-05-22",1.05,665086.17,4319.45,430580.52,81859.54,148326.66,146904.74,136.92,1285,"conventional",2016,"Boston"
"7392",26,"2017-07-02",0.77,1224659.64,551528.3,185311.58,14893.87,472925.89,276703.9,195838.66,383.33,"conventional",2017,"PhoenixTucson"
"17550",52,"2017-01-01",1.19,189700.7,20783.06,35758.45,36.46,133122.73,33998.5,99124.23,0,"organic",2017,"West"
"10379",4,"2015-11-29",1.51,1203.52,4.91,14.34,0,1184.27,1184.27,0,0,"organic",2015,"MiamiFtLauderdale"
"4561",36,"2016-04-17",0.61,1166007.02,662946.89,286552.3,14462.24,202045.59,93837.25,108208.34,0,"conventional",2016,"PhoenixTucson"
"3707",14,"2016-09-18",1.51,233869.17,37691.02,130354.21,132.81,65691.13,64310.17,1375.96,5,"conventional",2016,"HartfordSpringfield"
"10711",24,"2015-07-12",1.95,8821.58,20.44,1072.94,0,7728.2,7728.2,0,0,"organic",2015,"NorthernNewEngland"
"13658",8,"2016-10-30",2.62,5394.03,1436.7,3458.84,0,498.49,485.16,13.33,0,"organic",2016,"PhoenixTucson"
"12127",37,"2016-04-10",1,3469.2,2.6,1463.35,0,2003.25,240,1763.25,0,"organic",2016,"Boise"
"18110",4,"2018-02-25",2.11,24475.48,9731.2,11686.51,0,3057.77,3057.77,0,0,"organic",2018,"SanFrancisco"
"4168",7,"2016-11-06",1.31,146936.93,66594.58,13756.62,126.52,66459.21,54846.72,11172.49,440,"conventional",2016,"Nashville"
"16257",31,"2017-05-28",2.38,76002.26,6137.98,30135.14,629.9,39099.24,38971.17,128.07,0,"organic",2017,"NewYork"
"14129",11,"2016-10-09",2.72,20761.25,1173.39,16842.78,0,2745.08,2717.31,27.77,0,"organic",2016,"SanFrancisco"
"6638",14,"2017-09-24",1.74,135854.22,7948.8,63487.06,867.35,63551.01,31441.95,32031.35,77.71,"conventional",2017,"Indianapolis"
"5851",22,"2017-07-30",1.48,568255.53,8414.57,429987,3326.4,126527.56,96106.82,29390.74,1030,"conventional",2017,"Boston"
"10099",36,"2015-04-19",1.26,13856.85,12200.72,522.8,0,1133.33,1133.33,0,0,"organic",2015,"Houston"
"7014",19,"2017-08-20",1.07,261757.88,114191.45,37848.66,52.6,109665.17,90141.14,17632.7,1891.33,"conventional",2017,"Nashville"
"8806",3,"2018-03-04",1.03,332378.96,190521.47,24646.65,2564,114646.84,97910.59,16489.58,246.67,"conventional",2018,"NewOrleansMobile"
"13400",10,"2016-10-16",2.33,17837.78,3985.49,11359.44,88.68,2404.17,1942.38,461.79,0,"organic",2016,"NewYork"
"941",4,"2015-11-29",0.79,783225.98,391616.95,289533.68,4334.89,97740.46,67880.28,29860.18,0,"conventional",2015,"Houston"
"8417",44,"2017-02-26",0.86,6928736.97,2178473.36,1444476.86,130710.99,3175075.76,1944844.66,1227429.31,2801.79,"conventional",2017,"West"
"17842",0,"2018-03-25",1.75,5518.73,171.22,806.65,3.93,4536.93,2944.89,1592.04,0,"organic",2018,"Jacksonville"
"12229",35,"2016-04-24",1.55,6903.38,17.81,203.35,0,6682.22,3428.27,3253.95,0,"organic",2016,"BuffaloRochester"
"5570",5,"2016-11-20",0.99,670051.41,407045.54,40680.13,11622.63,210703.11,109832.07,100871.04,0,"conventional",2016,"WestTexNewMexico"
"4545",20,"2016-08-07",0.64,1522368.93,1031124.37,214144.29,11938.14,265162.13,132055.1,132129.25,977.78,"conventional",2016,"PhoenixTucson"
"5492",31,"2016-05-22",0.93,36958035.51,11711999.81,12981224.42,1640829.4,10623981.88,7835766.14,2563223.75,224991.99,"conventional",2016,"TotalUS"
"4431",10,"2016-10-16",1.23,311363.97,104391.1,87927.74,151.73,118893.4,24825.29,94068.11,0,"conventional",2016,"Orlando"
"13584",38,"2016-04-03",1.56,5754.88,2988.39,132.34,0,2634.15,2634.15,0,0,"organic",2016,"Orlando"
"8597",10,"2018-01-14",1.15,243366.13,59620.01,30542.73,19975.22,133228.17,123961.02,9260.42,6.73,"conventional",2018,"CincinnatiDayton"
"12545",39,"2016-03-27",1.25,17408.68,8355.74,658.68,0,8394.26,7234.13,1160.13,0,"organic",2016,"DallasFtWorth"
"10826",35,"2015-04-26",1.86,4698.5,305.19,1171.58,3.46,3218.27,3218.27,0,0,"organic",2015,"Philadelphia"
"14839",44,"2017-02-26",0.64,24322.77,1111.31,3495.28,0,19716.18,150,19566.18,0,"organic",2017,"Atlanta"
"2879",18,"2016-08-21",0.94,549139.07,293240.47,48349.86,82.91,207465.83,160464.82,47001.01,0,"conventional",2016,"Atlanta"
"15550",13,"2017-10-01",1.72,180253.26,3467.06,52244.98,0,124087.1,109113,14974.1,0,"organic",2017,"GreatLakes"
"4501",28,"2016-06-12",1.44,426671.94,14257.58,236401.63,16971.2,159041.53,143582.1,12724.43,2735,"conventional",2016,"Philadelphia"
"12409",7,"2016-11-06",0.9,27345.45,390.75,8582.72,0,18371.98,673.33,17698.65,0,"organic",2016,"CincinnatiDayton"
"3793",48,"2016-01-24",0.91,867294.64,259465.21,363892.04,79193.39,164744,83636.33,63963.23,17144.44,"conventional",2016,"Houston"
"9536",45,"2015-02-15",1.92,3125.59,219.08,1098.75,1056.49,751.27,751.27,0,0,"organic",2015,"Charlotte"
"13037",11,"2016-10-09",2.09,5771.2,1016.77,2518.91,0,2235.52,2219.25,16.27,0,"organic",2016,"LasVegas"
"1550",41,"2015-03-15",1.34,3135991.73,111777.91,2082038.09,5531.34,936644.39,843930.39,92714,0,"conventional",2015,"Northeast"
"16076",9,"2017-10-29",1.8,156848.8,2448.54,34603.78,619.38,119177.1,110757.39,8419.71,0,"organic",2017,"Midsouth"
"7265",5,"2017-11-26",1.4,272367,171834,19833,645,80056,56566,23490,0,"conventional",2017,"Orlando"
"4339",22,"2016-07-24",1.54,3834290.51,220814.35,2172523.13,63713.79,1377239.24,1287855.02,36043.62,53340.6,"conventional",2016,"Northeast"
"8482",3,"2018-03-04",1.08,139520.6,12002.12,105069.57,95.62,22353.29,16128.51,5941.45,283.33,"conventional",2018,"Albany"
"6771",41,"2017-03-19",1.02,318004.24,111396.46,43301.14,9357.16,153949.48,51704.25,102245.23,0,"conventional",2017,"LasVegas"
"16950",35,"2017-04-30",1.83,17826.5,1461.21,10052.54,1.61,6311.14,5252.77,1058.37,0,"organic",2017,"SanDiego"
"17949",11,"2018-01-07",1.97,82637.97,6158.73,19251.81,47.04,57180.39,57180.39,0,0,"organic",2018,"NewYork"
"5594",29,"2016-06-05",0.75,1030392.53,625919.72,125188.2,41083.35,238201.26,106610.36,121450.9,10140,"conventional",2016,"WestTexNewMexico"
"13963",1,"2016-12-18",1.5,4814.51,181.63,2715.1,0,1917.78,1624.65,293.13,0,"organic",2016,"Roanoke"
"4779",46,"2016-02-07",0.86,403849.99,82796.77,207314.39,41708.37,72030.46,66876.3,5151.7,2.46,"conventional",2016,"RaleighGreensboro"
"14143",25,"2016-07-03",2.31,29071.11,1423.41,25739.18,14.19,1894.33,1884.33,10,0,"organic",2016,"SanFrancisco"
"6762",32,"2017-05-21",1.02,356922.23,117366.67,63083.52,8122.78,168349.26,48461.64,119887.62,0,"conventional",2017,"LasVegas"
"9621",26,"2015-06-28",1.49,12523.04,313.32,11312.15,0,897.57,303.33,594.24,0,"organic",2015,"CincinnatiDayton"
"5006",13,"2016-09-25",1.43,860546.65,210602.19,549378.28,7878.79,92687.39,89785.42,1571.69,1330.28,"conventional",2016,"SanFrancisco"
"12766",0,"2016-12-25",1.81,8656.11,257.75,163.34,19.81,8215.21,8215.21,0,0,"organic",2016,"HarrisburgScranton"
"10665",30,"2015-05-31",1.89,63807.3,5614.59,21199.65,704.73,36288.33,36137.11,151.22,0,"organic",2015,"Northeast"
"11777",50,"2015-01-11",1.84,1258.62,814.13,44.49,0,400,400,0,0,"organic",2015,"Tampa"
"8258",44,"2017-02-26",1.57,60421.42,1108.5,40969.38,4.3,18339.24,18169.46,8.67,161.11,"conventional",2017,"Syracuse"
"15661",18,"2017-08-27",2.4,13994.9,74.89,4981.75,2.77,8935.49,8935.49,0,0,"organic",2017,"HartfordSpringfield"
"15094",34,"2017-05-07",1.59,211442.68,27955.44,80576.31,1.61,102909.32,102120.45,788.87,0,"organic",2017,"California"
"13916",6,"2016-11-13",1.61,7529.46,275.42,2721.84,217.94,4314.26,2456.8,1857.46,0,"organic",2016,"RichmondNorfolk"
"2000",23,"2015-07-19",1.02,225259.93,74921.22,84052.93,12403.89,53881.89,53877.92,3.97,0,"conventional",2015,"RichmondNorfolk"
"5717",47,"2017-02-05",0.83,888094.87,442152.5,167181.75,412.85,278347.77,180392.3,97837.41,118.06,"conventional",2017,"Atlanta"
"13552",6,"2016-11-13",1.53,6791.4,691.45,47.12,0,6052.83,3136.67,2916.16,0,"organic",2016,"Orlando"
"909",24,"2015-07-12",1.06,389782.2,4947.35,299937.47,11286.35,73611.03,71429.27,2181.76,0,"conventional",2015,"HartfordSpringfield"
"15636",46,"2017-02-12",1.81,9010.53,414.62,205.85,11.55,8378.51,8333.9,44.61,0,"organic",2017,"HarrisburgScranton"
"16640",43,"2017-03-05",1.39,79590.74,6729.74,25452.37,464.44,46944.19,19928.87,27015.32,0,"organic",2017,"Plains"
"7515",43,"2017-03-05",1.25,1601599.81,734909.69,421271.9,9572.98,435845.24,393722.61,36578.51,5544.12,"conventional",2017,"Plains"
"2724",19,"2015-08-16",0.98,5718139.41,2640927.73,2027603.38,123334.73,926273.57,685992.88,240262.17,18.52,"conventional",2015,"West"
"6493",28,"2017-06-18",1.5,238389.11,45186.48,131057.91,86.44,62058.28,55129.91,2569.76,4358.61,"conventional",2017,"HarrisburgScranton"
"6629",5,"2017-11-26",1.4,115688,7132,51923,608,56024,25102,30900,23,"conventional",2017,"Indianapolis"
"12685",23,"2016-07-17",1.82,1222.54,345.52,308.85,0,568.17,513.33,54.84,0,"organic",2016,"GrandRapids"
"9231",0,"2015-12-27",1.51,14201.42,363.5,5263.2,318.34,8256.38,2247.43,6008.95,0,"organic",2015,"BaltimoreWashington"
"3230",5,"2016-11-20",1.13,694873.06,134284.88,422382.41,80126.03,58079.74,55015.46,997.51,2066.77,"conventional",2016,"Chicago"
"9018",11,"2018-01-07",1.19,402919.29,201490.47,64214.46,3089.49,134124.87,104998.57,26809.64,2316.66,"conventional",2018,"SouthCarolina"
"16022",8,"2017-11-05",1.96,6103.24,64.69,911.14,0,5127.41,4226.66,900.75,0,"organic",2017,"MiamiFtLauderdale"
"12539",33,"2016-05-08",1.04,26837.25,8147.01,601.13,0,18089.11,12168.76,5920.35,0,"organic",2016,"DallasFtWorth"
"9185",6,"2015-11-15",1.85,3888.18,1643.11,1661.96,0,583.11,470,113.11,0,"organic",2015,"Atlanta"
"983",46,"2015-02-08",0.7,1180723.02,525259.71,535768.93,5175.33,114519.05,103507.51,11011.54,0,"conventional",2015,"Houston"
"855",22,"2015-07-26",1.17,225227.57,39346.13,123455.52,480.44,61945.48,60632.24,1271.5,41.74,"conventional",2015,"HarrisburgScranton"
"9441",2,"2015-12-13",1.39,98605.4,13609.24,46518.56,3.05,38474.55,24359.79,14114.76,0,"organic",2015,"California"
"7877",34,"2017-05-07",1.42,956829.89,212488.46,646869.71,6803.64,90668.08,86569.82,619.37,3478.89,"conventional",2017,"SanFrancisco"
"11562",43,"2015-03-01",1.46,47299.44,9547.92,20649.03,728.08,16374.41,12383.33,3991.08,0,"organic",2015,"Southeast"
"15821",19,"2017-08-20",2.48,2855.78,302.4,1483.2,2.4,1067.78,1067.78,0,0,"organic",2017,"Jacksonville"
"7975",26,"2017-07-02",1.28,413263.16,179977.91,86915.73,2600.47,143769.05,94511.45,38696.11,10561.49,"conventional",2017,"SouthCarolina"
"3159",38,"2016-04-03",0.93,6060843.76,1805555.95,2247248.19,334735.17,1673304.45,1454479.46,201547.46,17277.53,"conventional",2016,"California"
"1089",48,"2015-01-25",1.2,109940.55,66985.59,14505.13,523.89,27925.94,16753.47,11172.47,0,"conventional",2015,"Jacksonville"
"4375",6,"2016-11-13",1.48,268388.51,11996.05,211327.03,2651.04,42414.39,42414.39,0,0,"conventional",2016,"NorthernNewEngland"
"251",42,"2015-03-08",1.17,408403.96,3425.53,290512.65,78.96,114386.82,113811.26,575.56,0,"conventional",2015,"Boston"
"13652",2,"2016-12-11",1.83,8087.23,1880.06,3240.23,0,2966.94,2915.48,51.46,0,"organic",2016,"PhoenixTucson"
"7349",36,"2017-04-23",1.66,363689.09,34157.54,208134.75,416.47,120980.33,105813.24,15167.09,0,"conventional",2017,"Philadelphia"
"14634",48,"2016-01-24",1.41,776964.55,99316.69,270980.88,12933.97,393733.01,204859.71,188873.3,0,"organic",2016,"TotalUS"
"8602",3,"2018-03-04",1.04,207531.29,61462.7,17792.45,2208.68,126067.46,103725.06,21557.69,784.71,"conventional",2018,"Columbus"
"5572",7,"2016-11-06",0.99,643630.66,389129.36,47289.95,17719.27,189492.08,106571.99,82920.09,0,"conventional",2016,"WestTexNewMexico"
"17360",21,"2017-08-06",1.37,5742.08,0,114.91,0,5627.17,2087.51,3539.66,0,"organic",2017,"Syracuse"
"12837",19,"2016-08-14",2.19,5131.72,65.19,3573.57,9.56,1483.4,1189,294.4,0,"organic",2016,"HartfordSpringfield"
"10978",31,"2015-05-24",1.92,31193.34,8773.67,13683.89,11.65,8724.13,6649.48,2074.65,0,"organic",2015,"Plains"
"12181",39,"2016-03-27",1.59,13143.32,2.41,805.16,0,12335.75,11614.15,721.6,0,"organic",2016,"Boston"
"7083",35,"2017-04-30",1.32,301447.98,193112.77,28592.77,251.05,79491.39,60607.72,10988.67,7895,"conventional",2017,"NewOrleansMobile"
"6770",40,"2017-03-26",1.02,325734.59,117623.43,43374.75,9405.35,155331.06,64615.85,90715.21,0,"conventional",2017,"LasVegas"
"3315",38,"2016-04-03",0.89,191169.34,3481.07,109917.36,10846.9,66924.01,13780.66,50468.58,2674.77,"conventional",2016,"CincinnatiDayton"
"17735",1,"2018-03-18",1.32,31122.09,5570.59,1317.02,0,24234.48,22630.41,1604.07,0,"organic",2018,"DallasFtWorth"
"6003",15,"2017-09-17",1.61,192447.11,56017.67,64593.12,5176.8,66659.52,62156.95,4502.57,0,"conventional",2017,"Charlotte"
"17676",2,"2018-03-11",1.58,236822.98,32765.76,83573,0,120484.22,120465.39,18.83,0,"organic",2018,"California"
"16398",13,"2017-10-01",2.35,8517.29,239.14,1618.07,0,6660.08,5291.11,1368.97,0,"organic",2017,"Orlando"
